title,media,date,datetime,desc,link,img,sumber
"Kolaborasi dengan DANA Indonesia, Kementerian Investasi Dorong Pelaku UMKM Naik Kelas",Press Release,8 Apr 2022,,"KONTAN.CO.ID - Kementerian Investasi/Badan Koordinasi Penanaman Modal 
(BKPM) melakukan kolaborasi dengan PT Espay Debit Indonesia Koe (DANA 
Indonesia)...",https://pressrelease.kontan.co.id/news/kolaborasi-dengan-dana-indonesia-kementerian-investasi-dorong-pelaku-umkm-naik-kelas,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kontan
Pemerintah Dorong Sektor UMKM Sebagai Tulang Punggung Ekonomi Nasional,nasional kontan,3 Apr 2022,,"Reporter: Dimas Andi | Editor: Tendi Mahadi. KONTAN.CO.ID - JAKARTA. 
Menteri Koperasi dan Usaha Kecil dan Menengah (UMKM) Teten Masduki 
menyebut,...",https://nasional.kontan.co.id/news/pemerintah-dorong-sektor-umkm-sebagai-tulang-punggung-ekonomi-nasional,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kontan
Sederet Upaya Pemerintah Untuk Terus Dorong Pemulihan Ekonomi,nasional kontan,8 Mar 2022,,"Reporter: Siti Masitoh | Editor: Anna Suci Perwitasari. KONTAN.CO.ID - 
JAKARTA. Menteri Koordinator Bidang Perekonomian Airlangga Hartarto 
mengatakan,...",https://nasional.kontan.co.id/news/sederet-upaya-pemerintah-untuk-terus-dorong-pemulihan-ekonomi,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kontan
"Apa Itu Perseroan Perorangan? Ini Kelebihan, Syarat, dan Cara Pendaftarannya",Cari Tahu,7 Mar 2022,,"KONTAN.CO.ID - Bisnis dalam bentuk perseroan terbatas atau yang lebih 
dikenal dengan PT lebih diminati karena status hukumnya yang terdapat 
pemisahan...",https://caritahu.kontan.co.id/news/apa-itu-perseroan-perorangan-ini-kelebihan-syarat-dan-cara-pendaftarannya?page=all,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kontan
Teten Masduki Targetkan UMKM Raih 90% Pengadaan Barang/Jasa Pemerintah,nasional kontan,5 Mar 2022,,"Reporter: Ratih Waseso | Editor: Noverius Laoli. KONTAN.CO.ID - JAKARTA. 
Kementerian Koperasi dan UKM (KemenKopUKM) bersama Lembaga Kebijakan 
Pengadaan...",https://nasional.kontan.co.id/news/teten-masduki-targetkan-umkm-raih-90-pengadaan-barangjasa-pemerintah,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kontan
Airlanga Optimistis UU Cipta Kerja akan Ciptakan Iklim Investasi Baik di 2022,nasional kontan,6 Feb 2022,,"UU Cipta Kerja ini didorong untuk meningkatkan investasi, meningkatkan daya 
saing, memperluas UMKM.",https://nasional.kontan.co.id/news/airlanga-optimistis-uu-cipta-kerja-akan-ciptakan-iklim-investasi-baik-di-2022,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kontan
Kemenkumham Sebut 13.191 UMKM Telah Terdaftar Sebagai Perseroan Perseorangan,nasional kontan,Feb 2022,,"Reporter: Vendy Yhulia Susanto | Editor: Tendi Mahadi. KONTAN.CO.ID - 
JAKARTA. Menteri Hukum dan HAM Yasonna Laoly menyatakan, sejak 
diluncurkannya...",https://nasional.kontan.co.id/news/kemenkumham-sebut-13191-umkm-telah-terdaftar-sebagai-perseroan-perseorangan,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kontan
"BUMDes bersama UMKM, ultra mikro, dan koperasi berkontribusi 61% ke PDB",nasional kontan,20 Des 2021,,"Reporter: Achmad Jatnika | Editor: Khomarul Hidayat. KONTAN.CO.ID - 
JAKARTA. Status badan hukum dinilai akan menegaskan peran penting Badan 
Usaha Milik Desa...",https://nasional.kontan.co.id/news/bumdes-bersama-umkm-ultra-mikro-dan-koperasi-berkontribusi-61-ke-pdb,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kontan
"Kementerian Investasi: Kerja Sama PMA/PMDN dengan UMKM Mencapai Rp 2,7 Triliun",nasional kontan,8 Des 2021,,"Reporter: Siti Masitoh | Editor: Handoyo . KONTAN.CO.ID - BALI. Kementerian 
Investasi/Badan Koordinasi Penanaman Modal (BKPM) melaporkan,...",https://nasional.kontan.co.id/news/kementerian-investasi-kerja-sama-pmapmdn-dengan-umkm-mencapai-rp-27-triliun,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kontan
BKPM: Target Kontrak Kerja Sama PMA/PMDN dengan UMKM Mencapai Rp 5 Triliun di 2022,nasional kontan,8 Des 2021,,"Reporter: Siti Masitoh | Editor: Handoyo . KONTAN.CO.ID - BALI. Kementerian 
Investasi/Badan Koordinasi Penanaman Modal (BKPM) menargetkan kerjasama 
PMA...",https://nasional.kontan.co.id/news/bkpm-target-kontrak-kerja-sama-pmapmdn-dengan-umkm-mencapai-rp-5-triliun-di-2022,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kontan
