title,media,date,datetime,desc,link,img,sumber
"Anak Muda Hingga UMKM Sulit Dapat Akses Keuangan, Sri Mulyani Ungkap Hal Ini",Detik Finance,bulan lalu,,"Selama ini kaum muda menjadi salah satu pihak yang sulit sekali mengakses 
layanan keuangan. Hal itu juga disoroti Menteri Keuangan Sri Mulyani 
Indrawati.",https://finance.detik.com/berita-ekonomi-bisnis/d-6074164/anak-muda-hingga-umkm-sulit-dapat-akses-keuangan-sri-mulyani-ungkap-hal-ini,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
Memprioritaskan Pembiayaan UMKM,detikNews,8 Apr 2022,,"Pandemi Covid-19 semakin memperlihatkan masih rapuhnya ekonomi kita, 
khususnya UMKM. Kajian Otoritas Jasa Keuangan bersama BCG (2020) 
menunjukkan kemudahan...",https://news.detik.com/kolom/d-6038179/memprioritaskan-pembiayaan-umkm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
Kemenkop UKM Bidik Pengadaan K/L 90% dari UMKM,Detik Finance,6 Mar 2022,,"Kementerian Koperasi dan UKM (Kemenkop UKM) menargetkan koperasi dan UMKM 
dapat mencapai peningkatan alokasi pengadaan barang/jasa pemerintah hingga 
90%.",https://finance.detik.com/berita-ekonomi-bisnis/d-5985528/kemenkop-ukm-bidik-pengadaan-kl-90-dari-umkm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
Komisi VIII DPR Sebut Logo Halal Ditarik Negara agar Transparan,detikNews,6 Mar 2022,,"Wakil Ketua Komisi VIII DPR RI Ace Hasan Syadzily mengatakan penarikan 
penerbitan logo halal dari MUI ke Kemenag dilakukan agar tarifnya lebih 
transparan.",https://news.detik.com/berita/d-5986204/komisi-viii-dpr-sebut-logo-halal-ditarik-negara-agar-transparan,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
"Omnibus Law: Pengertian, Tujuan, dan Manfaatnya",detikFinance,Mar 2022,,"Omnibus Law adalah sebuah sebutan. Pengertian omnibus law adalah model 
undang-undang yang didalamnya terdiri dari banyak muatan.",https://finance.detik.com/berita-ekonomi-bisnis/d-5971850/omnibus-law-pengertian-tujuan-dan-manfaatnya,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
Pembinaan Komunitas Hukum Diharap Mampu Atasi Masalah Ketenagakerjaan,detikNews,4 Feb 2022,,"Sekjen Kementerian Ketenagakerjaan, Anwar Sanusi menghadiri Pertemuan 
Pembinaan Komunitas Hukum Kementerian Ketenagakerjaan Tahun 2022 secara 
virtual,",https://news.detik.com/berita/d-5957799/pembinaan-komunitas-hukum-diharap-mampu-atasi-masalah-ketenagakerjaan,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
Simak! UMKM Dapat 'Karpet Merah' Gelar Lapak di Rest Area-Bandara,detikFinance,2 Des 2021,,"Usaha mikro, kecil, dan menengah (UMKM) mendapat sejumlah kemudahan seperti 
diatur dalam Undang-undang Cipta Kerja.",https://finance.detik.com/berita-ekonomi-bisnis/d-5865695/simak-umkm-dapat-karpet-merah-gelar-lapak-di-rest-area-bandara,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
"Pemerintah Utak-atik Kebijakan Pajak Selama Pandemi, Apa Dampaknya?",detikFinance,20 Des 2021,,"Pemerintah beberapa kali melakukan perubahan kebijakan termasuk di bidang 
perpajakan sepanjang pandemi. Keputusan ini tentu akan menimbulkan akibat.",https://finance.detik.com/berita-ekonomi-bisnis/d-5863362/pemerintah-utak-atik-kebijakan-pajak-selama-pandemi-apa-dampaknya,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
"Melalui UU Ciptaker, Kemnaker Perluas Program Bantuan UMKM di Daerah",detikFinance,6 Des 2021,,"Menaker Ida menjelaskan bantuan tersebut diberikan kepada kelompok 
perempuan agar mereka membantu perekonomian keluarga serta masyarakat di 
daerahnya.",https://finance.detik.com/berita-ekonomi-bisnis/d-5857244/melalui-uu-ciptaker-kemnaker-perluas-program-bantuan-umkmdi-daerah,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
UU Ciptaker Dinilai Perkuat Pemberdayaan Petani demi Ketahanan Pangan,detikFinance,6 Des 2021,,"Sebagai negara dengan jumlah penduduk yang besar, Indonesia tentunya 
menghadapi tantangan yang sangat kompleks dalam memenuhi kebutuhan 
pangannya.",https://finance.detik.com/berita-ekonomi-bisnis/d-5858643/uu-ciptaker-dinilai-perkuat-pemberdayaan-petani-demi-ketahanan-pangan,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
BKPM: 430 Ribu Pelaku UMK Kantongi Izin Usaha Lewat Aplikasi OSS,detikNews,3 Des 2021,,"Sebanyak 430 pelaku usaha mikro dan kecil (UMK) di Indonesia telah 
mendapatkan Nomor Induk Berusaha (NIB) lewat aplikasi Online Single 
Submission (OSS)",https://news.detik.com/berita-jawa-barat/d-5853379/bkpm-430-ribu-pelaku-umk-kantongi-izin-usaha-lewat-aplikasi-oss,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
Airlangga Beberkan Manfaat UU Ciptaker ke Digitalisasi UMKM,detikFinance,Des 2021,,"Dalam rangka memulihkan ekonomi akibat pandemi COVID-19, UMKM didorong 
untuk melakukan digitalisasi bisnis. Harapannya, UMKM dapat bersaing dan 
meningkatkan...",https://finance.detik.com/berita-ekonomi-bisnis/d-5845084/airlangga-beberkan-manfaat-uu-ciptaker-ke-digitalisasi-umkm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
UU Ciptaker Beri Payung Hukum Pelaksanaan BUMDes,Detik Finance,Des 2021,,"Menteri Desa, Pembangunan Daerah Tertinggal dan Transmigrasi, Abdul Halim 
Iskandar menyatakan Undang-Undang Cipta Kerja menegaskan kedudukan BUMDes 
sebagai...",https://finance.detik.com/berita-ekonomi-bisnis/d-5845168/uu-ciptaker-beri-payung-hukum-pelaksanaan-bumdes,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",detik
